CAT revision 69 GST ref 37

=== PRAETOR/CENTURION ARMOURY + WEAPONS ===
ENTRY hq-praetor | Legion Praetor
    LINK r40-da-steel-transport-veteran-unit-hs-spartan-hs-spartan-p1 | Combi-Flamer -> gear-combi-flamer | max=1 field=selections scope=parent
    LINK r40-da-steel-transport-veteran-unit-hs-spartan-hs-spartan-p2 | Combi-Grenade Launcher -> gear-combi-grenade | max=1 field=selections scope=parent
    LINK r40-da-steel-transport-veteran-unit-hs-spartan-hs-spartan-p3 | Combi-Meltagun -> gear-combi-melta | max=1 field=selections scope=parent
    LINK r40-da-steel-transport-veteran-unit-hs-spartan-hs-spartan-p4 | Combi-Plasma Gun -> gear-combi-plasma | max=1 field=selections scope=parent
    LINK r40-da-steel-transport-veteran-unit-hs-spartan-hs-spartan-p5 | Combi-Volkite Charger -> gear-combi-volkite | max=1 field=selections scope=parent
    LINK r40-da-steel-transport-veteran-unit-hs-spartan-hs-spartan-p6 | Heavy Bolter -> gear-heavy-bolter | max=1 field=selections scope=parent
    LINK r40-da-steel-transport-veteran-unit-hs-spartan-hs-spartan-p7 | Heavy Flamer -> gear-heavy-flamer | max=1 field=selections scope=parent
    LINK r40-da-steel-transport-veteran-unit-hs-spartan-hs-spartan-p8 | Multi-Melta -> gear-multimelta | max=1 field=selections scope=parent
    LINK r40-da-steel-transport-veteran-unit-hs-spartan-hs-spartan-p9 | Havoc Launcher -> gear-havoc | max=1 field=selections scope=parent
  GROUP r40-da-steel-transport-veteran-unit-hs-spartan-r40-da-ammo-hs-spartan | Dark Angels Armoury — Ammunition | 
    LINK r40-da-steel-transport-veteran-unit-hs-spartan-r40-da-ammo-hs-spartan-hs-spartan-p6 | Molecular Acid Shells (for Heavy Bolter) -> da22-acid-hb | max=1 field=selections scope=parent
  GROUP r49-legion-upgrades-veteran-unit | Legion Wargear & Upgrades | 
    LINK r43-veteran-ec-apoth | Veteran Sergeant upgraded to Apothecary -> r43-ec-vet-apothecary | max=1 field=selections scope=parent
    LINK r43-veteran-ec-reductor | Reductor -> r43-ec-reductor | max=1 field=selections scope=parent
    LINK r44-veteran-unit-nl-stealth | Stealth Adept — unit -> r44-nl-stealth-unit | max=1 field=selections scope=parent
    LINK r44-veteran-unit-nl-kraken | Kraken Light Bolts -> r44-nl-kraken-bolts | max=1 field=selections scope=parent
    LINK r44-veteran-unit-ih-grav | Graviton Gun instead of Flamer -> r44-ih-graviton-substitution | max=1 field=selections scope=parent
    LINK r45-veteran-unit-we-chain | Chainaxe -> r45-we-chainaxe | max=1 field=selections scope=parent
    LINK r45-veteran-unit-dg-alchem | Alchem Flamer replacement -> r45-dg-alchem-flamer | max=1 field=selections scope=parent
    LINK r45-veteran-unit-ts-asphyx | Asphyx Shells -> r45-ts-asphyx-unit | max=1 field=selections scope=parent
    LINK r45-veteran-unit-ts-brother | Brotherhood of Psykers (Mastery Level 1) -> r45-ts-brotherhood | max=1 field=selections scope=parent
    LINK r45-veteran-unit-ts-brother-fellow | Brotherhood of Psykers (Fellowships price) -> r45-ts-brotherhood-fellowship | max=1 field=selections scope=parent
    LINK r46-veteran-unit-wb-hex | Hex-Bolts -> r46-wb-hex-bolts | max=1 field=selections scope=parent
    LINK r46-veteran-unit-wb-icon | Icon of Chaos Undivided -> r46-wb-icon-chaos-undivided | max=1 field=selections scope=parent
    LINK r46-veteran-unit-wb-dark | Dark Channelling -> r46-wb-dark-channelling | max=1 field=selections scope=parent
    LINK r46-veteran-unit-sal-heavyflame | Heavy Flamer instead of Flamer -> r46-sal-heavy-flamer | max=1 field=selections scope=parent
    LINK r46-veteran-unit-sal-artificer | Artificer Armour — Salamanders access -> r46-sal-artificer-armour | max=1 field=selections scope=parent
    LINK r46-veteran-rg-talons | Raven’s Talons — Veteran model -> r46-rg-talons-model | max=20 field=selections scope=parent
    LINK r46-veteran-unit-rg-shroud | Shroud Bombs -> r46-rg-shroud-unit | max=1 field=selections scope=parent
    LINK r46-veteran-unit-al-bane | Banestrike Ammunition — eligible model -> r46-al-banestrike-model | max=20 field=selections scope=parent
    LINK r47-veteran-unit-ih-bionics | Bionics — unit model -> r47-ih-bionics-model | max=20 field=selections scope=parent
    LINK r47-veteran-unit-ih-bionics-sgt | Bionics — Veteran Sergeant -> r47-ih-bionics-veteran-sergeant | max=1 field=selections scope=parent
    LINK r47-veteran-unit-ih-splinter | Splinter Bolts -> r47-ih-splinter-bolts | max=1 field=selections scope=parent
  GROUP r57-veteran-unit-iw | Iron Warriors Armoury | 
    ENTRY r57-veteran-unit-iw-shrapnel | Shrapnel Bolts | cost=5 | max=1 field=selections scope=parent
    ENTRY r57-veteran-unit-iw-servo | Servo-Arm | cost=30 | max=1 field=selections scope=parent
    ENTRY r57-veteran-unit-iw-bionics | Bionics | cost=5 | max=1 field=selections scope=parent
ENTRY terminator-unit | Legion Terminator Squad
  GROUP terminator-armour-pattern | Terminator Armour Pattern (entire squad) | min=1 field=selections scope=parent; max=1 field=selections scope=parent
    ENTRY terminator-armour-normal | Terminator Armour | cost= | max=1 field=selections scope=parent
    ENTRY terminator-armour-tartaros | Tartaros Terminator Armour | cost= | max=1 field=selections scope=parent
    ENTRY terminator-armour-cataphractii | Cataphractii Terminator Armour | cost= | max=1 field=selections scope=parent
  GROUP terminator-ranged | Ranged Weapon Replacements | max=5 field=selections scope=parent
    LINK terminator-r-sb | Storm Bolter (replaces Combi-bolter) -> gear-storm-bolter | max=10 field=selections scope=parent
    LINK terminator-r-foe | Foeblaster Boltgun (replaces Combi-bolter) -> gear-foeblaster | max=10 field=selections scope=parent
    LINK terminator-r-cf | Combi-Flamer (replaces Combi-bolter) -> gear-combi-flamer | max=10 field=selections scope=parent
    LINK terminator-r-cm | Combi-Meltagun (replaces Combi-bolter) -> gear-combi-melta | max=10 field=selections scope=parent
    LINK terminator-r-cp | Combi-Plasma Gun (replaces Combi-bolter) -> gear-combi-plasma | max=10 field=selections scope=parent
    LINK terminator-r-cv | Combi-Volkite Charger (replaces Combi-bolter) -> gear-combi-volkite | max=10 field=selections scope=parent
    LINK terminator-r-vc | Volkite Charger (replaces Combi-bolter) -> gear-volkite-charger | max=10 field=selections scope=parent
  GROUP terminator-melee | Close Combat Weapon Replacements | max=5 field=selections scope=parent
    LINK terminator-m-pf | Power Fist (replaces Power Weapon) -> gear-power-fist | max=10 field=selections scope=parent
    LINK terminator-m-lc | Lightning Claw (replaces Power Weapon) -> gear-lightning-claw | max=10 field=selections scope=parent
    LINK terminator-m-cf | Chainfist (replaces Power Weapon) -> gear-chainfist | max=10 field=selections scope=parent
    LINK terminator-m-th | Thunder Hammer (replaces Power Weapon) -> gear-thunder | max=10 field=selections scope=parent
  GROUP terminator-heavy | Heavy Weapons (1 per 5 models) | max=1 field=selections scope=parent
    LINK terminator-h-hf | Heavy Flamer (replaces Combi-bolter) -> gear-heavy-flamer | max=2 field=selections scope=parent
    LINK terminator-h-ra | Reaper Autocannon (replaces Combi-bolter) -> gear-reaper-autocannon | max=2 field=selections scope=parent
    LINK terminator-h-pb | Plasma Blaster (replaces Combi-bolter) -> gear-plasma-blaster | max=2 field=selections scope=parent
    LINK terminator-h-ac | Assault Cannon (replaces Combi-bolter) -> gear-assault-cannon | max=2 field=selections scope=parent
    LINK terminator-h-cyclone | Cyclone Missile Launcher (retains other weapons) -> gear-cyclone | max=2 field=selections scope=parent
  GROUP terminator-sergeant-options | Legion Terminator Sergeant | 
    LINK terminator-sgt-harness | Grenade Harness -> gear-grenade-harness | max=1 field=selections scope=parent
  GROUP terminator-sgt-armoury | Additional permitted Terminator Armoury (max 50 pts) | max=50 field=pts scope=parent
    ENTRY terminator-sgt-halo | Iron Halo | cost=25 | max=1 field=selections scope=parent
    ENTRY terminator-sgt-mastercraft | Master-crafted Weapon | cost=15 | max=1 field=selections scope=parent
    ENTRY terminator-sgt-signum | Signum | cost=15 | max=1 field=selections scope=parent
    LINK terminator-sgt-cg | Combi-Grenade Launcher -> gear-combi-grenade | max=1 field=selections scope=parent
    LINK terminator-sgt-auspex | Auspex -> gear-auspex | max=1 field=selections scope=parent
    LINK terminator-sgt-bionics | Bionics -> gear-bionics | max=1 field=selections scope=parent
    LINK terminator-sgt-nuncio | Nuncio Vox -> gear-nuncio | max=1 field=selections scope=parent
    LINK terminator-sgt-purity | Purity Seals -> gear-purity | max=1 field=selections scope=parent
    LINK terminator-sgt-homer | Teleport Homer -> gear-homer | max=1 field=selections scope=parent
    LINK r39-phosphex-terminator-sgt-armoury | Phosphex Bomb (Destroyer Company) -> gear-phosphex-bomb | max=1 field=selections scope=parent
    LINK r63-sw-arm-16-frost | Frost Weapon -> r63-sw-gear-frost | max=1 field=selections scope=parent
    LINK r63-sw-arm-16-frost-exchange | Frost Weapon — Power Weapon exchange -> r63-sw-gear-frost-exchange | max=1 field=selections scope=parent
    LINK r63-sw-arm-16-pelt | Wolf Pelt -> r63-sw-gear-pelt | max=1 field=selections scope=parent
    LINK r63-sw-arm-16-necklace | Wolf Tooth Necklace -> r63-sw-gear-necklace | max=1 field=selections scope=parent
    LINK r63-sw-arm-16-talisman | Wolf Tail Talisman -> r63-sw-gear-talisman | max=1 field=selections scope=parent
  GROUP r40-da-steel-transport-terminator-unit | Steel Fist — Armoured Assault Dedicated Transport | max=1 field=selections scope=parent
    ENTRY r40-da-steel-transport-terminator-unit-r37-spear-tac-transport-src-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos (10 models or fewer) | cost=250 | max=1 field=selections scope=parent
    ENTRY r40-da-steel-transport-terminator-unit-r37-spear-tac-transport-src-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus (10 models or fewer) | cost=200 | max=1 field=selections scope=parent
    ENTRY r40-da-steel-transport-terminator-unit-hs-spartan | Legion Spartan Assault Tank (11–20 models) | cost=305 | 
  GROUP r40-da-steel-transport-terminator-unit-hs-spartan-hs-spartan-replace | Main Weapon Replacements | 
    ENTRY r40-da-steel-transport-terminator-unit-hs-spartan-hs-spartan-laser | Two Laser Destroyers (replace both Quad Lascannons) | cost= | max=1 field=selections scope=parent
    LINK r40-da-steel-transport-terminator-unit-hs-spartan-hs-spartan-hf | Twin-linked Heavy Flamer (replaces Twin-linked Heavy Bolter) -> hsgear-tl-heavy-flamer | max=1 field=selections scope=parent
  GROUP r40-da-steel-transport-terminator-unit-hs-spartan-hs-spartan-pintle | Pintle-mounted Weapon | max=1 field=selections scope=parent
    LINK r40-da-steel-transport-terminator-unit-hs-spartan-hs-spartan-p0 | Twin-linked Bolter -> gear-tl-bolter | max=1 field=selections scope=parent
    LINK r40-da-steel-transport-terminator-unit-hs-spartan-hs-spartan-p1 | Combi-Flamer -> gear-combi-flamer | max=1 field=selections scope=parent
    LINK r40-da-steel-transport-terminator-unit-hs-spartan-hs-spartan-p2 | Combi-Grenade Launcher -> gear-combi-grenade | max=1 field=selections scope=parent
    LINK r40-da-steel-transport-terminator-unit-hs-spartan-hs-spartan-p3 | Combi-Meltagun -> gear-combi-melta | max=1 field=selections scope=parent
    LINK r40-da-steel-transport-terminator-unit-hs-spartan-hs-spartan-p4 | Combi-Plasma Gun -> gear-combi-plasma | max=1 field=selections scope=parent
    LINK r40-da-steel-transport-terminator-unit-hs-spartan-hs-spartan-p5 | Combi-Volkite Charger -> gear-combi-volkite | max=1 field=selections scope=parent
    LINK r40-da-steel-transport-terminator-unit-hs-spartan-hs-spartan-p6 | Heavy Bolter -> gear-heavy-bolter | max=1 field=selections scope=parent
    LINK r40-da-steel-transport-terminator-unit-hs-spartan-hs-spartan-p7 | Heavy Flamer -> gear-heavy-flamer | max=1 field=selections scope=parent
    LINK r40-da-steel-transport-terminator-unit-hs-spartan-hs-spartan-p8 | Multi-Melta -> gear-multimelta | max=1 field=selections scope=parent
    LINK r40-da-steel-transport-terminator-unit-hs-spartan-hs-spartan-p9 | Havoc Launcher -> gear-havoc | max=1 field=selections scope=parent
  GROUP r40-da-steel-transport-terminator-unit-hs-spartan-r40-da-ammo-hs-spartan | Dark Angels Armoury — Ammunition | 
    LINK r40-da-steel-transport-terminator-unit-hs-spartan-r40-da-ammo-hs-spartan-hs-spartan-p6 | Molecular Acid Shells (for Heavy Bolter) -> da22-acid-hb | max=1 field=selections scope=parent
  GROUP r49-legion-upgrades-terminator-unit | Legion Wargear & Upgrades | 
    LINK r44-terminator-unit-nl-trans | Teleportation Transponders -> r44-nl-transponder-unit | max=1 field=selections scope=parent
    LINK r45-terminator-unit-ts-asphyx | Asphyx Shells -> r45-ts-asphyx-unit | max=1 field=selections scope=parent
    LINK r45-terminator-unit-ts-brother | Brotherhood of Psykers (Mastery Level 1) -> r45-ts-brotherhood | max=1 field=selections scope=parent
    LINK r45-terminator-unit-ts-brother-fellow | Brotherhood of Psykers (Fellowships price) -> r45-ts-brotherhood-fellowship | max=1 field=selections scope=parent
    LINK r45-terminator-ts-trans | Teleportation Transponders -> r45-ts-trans-unit | max=1 field=selections scope=parent
    LINK r46-terminator-unit-soh-trans | Teleportation Transponders -> r46-soh-transponder-unit | max=1 field=selections scope=parent
    LINK r46-terminator-unit-wb-hex | Hex-Bolts -> r46-wb-hex-bolts | max=1 field=selections scope=parent
    LINK r46-terminator-unit-wb-icon | Icon of Chaos Undivided -> r46-wb-icon-chaos-undivided | max=1 field=selections scope=parent
    LINK r46-terminator-unit-wb-dark | Dark Channelling -> r46-wb-dark-channelling | max=1 field=selections scope=parent
    LINK r46-terminator-rg-trans | Teleportation Transponders -> r46-rg-trans-unit | max=1 field=selections scope=parent
    LINK r46-terminator-al-trans | Teleportation Transponders -> r46-al-trans-unit | max=1 field=selections scope=parent
    LINK r47-terminator-unit-ih-bionics | Bionics — unit model -> r47-ih-bionics-model | max=20 field=selections scope=parent
    LINK r47-terminator-unit-ih-bionics-sgt | Bionics — Veteran Sergeant -> r47-ih-bionics-veteran-sergeant | max=1 field=selections scope=parent
    LINK r47-terminator-unit-ih-splinter | Splinter Bolts -> r47-ih-splinter-bolts | max=1 field=selections scope=parent
  GROUP r57-terminator-unit-iw | Iron Warriors Armoury | 
    ENTRY r57-terminator-unit-iw-shrapnel | Shrapnel Bolts | cost=5 | max=1 field=selections scope=parent
    ENTRY r57-terminator-unit-iw-servo | Servo-Arm | cost=30 | max=1 field=selections scope=parent
    ENTRY r57-terminator-unit-iw-bionics | Bionics | cost=5 | max=1 field=selections scope=parent
ENTRY hq-centurion-ret-command | Legion Command Squad
  GROUP hq-centurion-ret-command-weapons | Weapon Replacements (each model may replace Bolt Pistol and/or Chainsword) | max=10 field=selections scope=parent
    LINK hq-centurion-ret-command-w-0 | Bolter -> gear-bolter | max=5 field=selections scope=parent
    LINK hq-centurion-ret-command-w-1 | Storm Bolter -> gear-storm-bolter | max=5 field=selections scope=parent
    LINK hq-centurion-ret-command-w-2 | Combi-Flamer -> gear-combi-flamer | max=5 field=selections scope=parent
    LINK hq-centurion-ret-command-w-3 | Combi-Meltagun -> gear-combi-melta | max=5 field=selections scope=parent
    LINK hq-centurion-ret-command-w-4 | Combi-Plasma Gun -> gear-combi-plasma | max=5 field=selections scope=parent
    LINK hq-centurion-ret-command-w-5 | Combi-Volkite Charger -> gear-combi-volkite | max=5 field=selections scope=parent
    LINK hq-centurion-ret-command-w-6 | Flamer -> gear-flamer | max=5 field=selections scope=parent
    LINK hq-centurion-ret-command-w-7 | Meltagun -> gear-meltagun | max=5 field=selections scope=parent
    LINK hq-centurion-ret-command-w-8 | Plasma Gun -> gear-plasma-gun | max=5 field=selections scope=parent
    LINK hq-centurion-ret-command-w-9 | Volkite Charger -> gear-volkite-charger | max=5 field=selections scope=parent
    LINK hq-centurion-ret-command-w-10 | Volkite Caliver -> gear-volkite-caliver | max=5 field=selections scope=parent
    LINK hq-centurion-ret-command-w-11 | Rotor Cannon -> gear-rotor | max=5 field=selections scope=parent
    LINK hq-centurion-ret-command-w-12 | Hand Flamer -> gear-hand-flamer | max=5 field=selections scope=parent
    LINK hq-centurion-ret-command-w-13 | Plasma Pistol -> gear-plasma-pistol | max=5 field=selections scope=parent
    LINK hq-centurion-ret-command-w-14 | Rending Weapon -> gear-rending | max=5 field=selections scope=parent
